      Step     Time          Energy          fmax
FIRE:    0 16:41:56     -381.890503        1.286676
FIRE:    1 16:41:56     -382.111847        1.123996
FIRE:    2 16:41:56     -382.461823        0.837890
FIRE:    3 16:41:57     -382.810120        0.485095
FIRE:    4 16:41:57     -383.055389        0.377657
FIRE:    5 16:41:58     -383.167328        0.359994
FIRE:    6 16:41:58     -383.187653        0.561418
FIRE:    7 16:41:58     -383.196198        0.543579
FIRE:    8 16:41:59     -383.212219        0.508951
FIRE:    9 16:41:59     -383.233948        0.459463
FIRE:   10 16:41:59     -383.258911        0.397706
FIRE:   11 16:41:59     -383.284393        0.326605
FIRE:   12 16:42:00     -383.307892        0.249236
FIRE:   13 16:42:00     -383.327332        0.168838
FIRE:   14 16:42:00     -383.342499        0.120518
FIRE:   15 16:42:01     -383.351410        0.115667
FIRE:   16 16:42:01     -383.354218        0.128853
FIRE:   17 16:42:01     -383.354584        0.127937
FIRE:   18 16:42:02     -383.355347        0.126119
FIRE:   19 16:42:02     -383.356476        0.123411
FIRE:   20 16:42:02     -383.357849        0.119853
FIRE:   21 16:42:03     -383.359558        0.115485
FIRE:   22 16:42:03     -383.361420        0.110362
FIRE:   23 16:42:03     -383.363434        0.106216
FIRE:   24 16:42:04     -383.365753        0.103421
FIRE:   25 16:42:04     -383.368317        0.100011
FIRE:   26 16:42:04     -383.371124        0.095912
FIRE:   27 16:42:04     -383.374023        0.091081
FIRE:   28 16:42:05     -383.376923        0.085525
FIRE:   29 16:42:05     -383.379852        0.079341
FIRE:   30 16:42:05     -383.382812        0.072712
      Step     Time          Energy          fmax
FIRE:    0 16:42:06     -381.890503        1.286676
FIRE:    1 16:42:06     -382.111847        1.123996
FIRE:    2 16:42:07     -382.461823        0.837890
FIRE:    3 16:42:07     -382.810120        0.485095
FIRE:    4 16:42:07     -383.055389        0.377657
FIRE:    5 16:42:07     -383.167328        0.359993
FIRE:    6 16:42:08     -383.187653        0.561418
FIRE:    7 16:42:08     -383.196198        0.543579
FIRE:    8 16:42:08     -383.212219        0.508951
FIRE:    9 16:42:09     -383.233948        0.459465
FIRE:   10 16:42:09     -383.258881        0.397706
FIRE:   11 16:42:09     -383.284393        0.326605
FIRE:   12 16:42:10     -383.307892        0.249238
FIRE:   13 16:42:10     -383.327332        0.168838
FIRE:   14 16:42:10     -383.342499        0.120518
FIRE:   15 16:42:10     -383.351410        0.115666
FIRE:   16 16:42:11     -383.354218        0.128851
FIRE:   17 16:42:11     -383.354614        0.127938
FIRE:   18 16:42:12     -383.355347        0.126119
FIRE:   19 16:42:12     -383.356476        0.123411
FIRE:   20 16:42:12     -383.357880        0.119854
FIRE:   21 16:42:13     -383.359558        0.115486
FIRE:   22 16:42:13     -383.361420        0.110361
FIRE:   23 16:42:13     -383.363434        0.106216
FIRE:   24 16:42:13     -383.365753        0.103421
FIRE:   25 16:42:14     -383.368347        0.100010
FIRE:   26 16:42:14     -383.371124        0.095912
FIRE:   27 16:42:14     -383.374023        0.091080
FIRE:   28 16:42:15     -383.376923        0.085525
FIRE:   29 16:42:15     -383.379852        0.079341
FIRE:   30 16:42:15     -383.382812        0.072712
      Step     Time          Energy          fmax
FIRE:    0 16:42:16     -381.890503        1.286676
FIRE:    1 16:42:16     -382.111847        1.123996
FIRE:    2 16:42:17     -382.461823        0.837890
FIRE:    3 16:42:17     -382.810120        0.485095
FIRE:    4 16:42:17     -383.055389        0.377657
FIRE:    5 16:42:18     -383.167358        0.359994
FIRE:    6 16:42:18     -383.187653        0.561418
FIRE:    7 16:42:18     -383.196198        0.543579
FIRE:    8 16:42:18     -383.212219        0.508951
FIRE:    9 16:42:19     -383.233948        0.459463
FIRE:   10 16:42:19     -383.258881        0.397706
FIRE:   11 16:42:19     -383.284393        0.326605
FIRE:   12 16:42:20     -383.307861        0.249237
FIRE:   13 16:42:20     -383.327332        0.168838
FIRE:   14 16:42:20     -383.342499        0.120518
FIRE:   15 16:42:21     -383.351410        0.115667
FIRE:   16 16:42:21     -383.354218        0.128851
FIRE:   17 16:42:21     -383.354614        0.127936
FIRE:   18 16:42:21     -383.355347        0.126119
FIRE:   19 16:42:22     -383.356476        0.123411
FIRE:   20 16:42:22     -383.357880        0.119854
FIRE:   21 16:42:22     -383.359558        0.115484
FIRE:   22 16:42:23     -383.361420        0.110362
FIRE:   23 16:42:23     -383.363434        0.106216
FIRE:   24 16:42:23     -383.365753        0.103421
FIRE:   25 16:42:24     -383.368347        0.100011
FIRE:   26 16:42:24     -383.371124        0.095912
