formula,cell_volume,s_electrons,p_electrons,d_electrons,f_electrons,min_M_O_distance,overpotential_in_eV
Ba16Mo16O48,66.3513926319873,3,0,5,0,2.024199679999999,3.4190339636655884
I16O48Tl16,76.7475819762978,4,5,13,14,2.1248334999999976,3.4917033131367585
Cd16O48V16,56.6285895403334,4,0,13,0,1.920061999999998,2.846664203696127
In16Mg16O48,58.57860673893488,4,1,10,0,1.9418529999999983,3.7481270537050437
Gd16O48Rb16,89.43882185662243,3,0,1,7,2.2360310279289997,4.178221933177957
Ni16O48Pb16,55.3304702664199,4,2,18,14,1.905276999999998,3.175446179946566
Ce16Ga16O48,59.06311075450964,4,1,11,1,1.9471919999999994,4.4318399248555576
Mo16O48Si16,48.44761250350568,3,2,5,0,1.8227514999999972,3.0605441071646693
Fe16O48Rh16,53.58574568537138,3,0,14,0,1.8850364999999982,3.171702234770555
O48Sb16Y16,76.78692265678544,4,3,11,0,2.1251964999999995,2.958008101186442
B16O48Os16,39.56185275227553,4,1,6,14,1.7037094999999987,4.214210642360831
K16O48Zn16,68.34503711356683,3,0,10,0,2.044273499999999,3.1581841426649317
O48Pd16Rb16,70.35850277043421,1,0,10,0,2.0641544999999972,5.713121919232666
Be16O48Sb16,45.78170326605362,4,3,10,0,1.7886854999999997,3.2016137279858636
Hg16Np16O48,77.69028367573682,4,0,11,18,2.133497999999996,4.283156583007985
Be16O48Si16,42.04936611513886,4,2,0,0,1.7386939999999989,3.092545486868853
Cr16Gd16O48,58.03863768944234,3,0,6,7,1.9358679999999957,2.761357238118853
Cs16O48Ta16,71.17195817122038,3,0,3,14,2.0720789999999987,3.1657736924445086
Be16Na16O48,46.24388611464274,3,0,0,0,1.794684499999999,2.9523565390610385
Be16O48Pb16,48.72835290398646,4,2,10,14,1.826265499999998,3.216352042784483
Ag16O48Ta16,63.96976476254995,3,0,13,14,1.9996849999999995,3.766189834568086
O48Tl16Zr16,74.75924335094659,5,0,6,14,2.106322999999998,3.940693830967457
Fe16Mg16O48,53.406515285723586,4,0,6,0,1.882932499999999,4.057536961899355
O48Te16Ti16,62.215409149761214,4,4,12,0,1.981234999999998,4.49471267450267
Be16K16O48,53.64977433795313,3,0,0,0,1.8857869999999988,3.0205796131086755
O48Pb16Sn16,70.32588763341299,4,4,20,14,2.063835499999996,3.7318132143619733
Al16O48V16,48.248222331794274,4,1,3,0,1.8202474999999971,3.336281276909058
O48Sn16Y16,71.05362594266691,4,2,11,0,2.070929999999997,3.412393863985808
O48Sr16Zr16,85.49650328956369,5,0,3,0,2.2026869999999974,5.789378906882124
O48Re16Sr16,63.85184247357701,4,0,5,14,1.9984554999999986,4.292306098882682
Gd16O48Zr16,72.1126937347448,5,0,4,7,2.081168499999997,2.8246362503467477
Ce16Cu16O48,56.30938271874033,3,0,11,1,1.9164474999999968,4.1773011060991845
O48Sn16Ta16,67.54808347028869,4,2,13,14,2.036296499999999,4.09185613919758
B16O48Rb16,50.39388070820403,3,1,0,0,1.8468399999999994,2.826253396271004
Mg16Mo16O48,64.11824875225128,3,0,5,0,2.001230999999997,4.208572022777594
O48Os16Rb16,62.76469020489099,3,0,6,14,1.987048499999998,3.837415990301542
Na16O48Ti16,59.42551848449953,3,0,2,0,1.9511664999999994,3.4007564032790425
Hg16O48Ti16,60.2967903956638,4,0,12,14,1.9606559999999993,3.7390492628245466
Nd16O48Sr16,90.91035675028431,4,0,0,4,2.248231999999998,3.9228146473129804
Ba16O48Tb16,88.21841085680296,4,0,0,9,2.225818499999999,4.457940453084694
Mg16O48Sn16,65.21888912494154,4,2,10,0,2.0126169999999988,3.8054359288910247
K16O48Rh16,63.596546765562046,2,0,8,0,1.9957884999999997,2.9330893521255117
Hg16O48Tl16,77.36541033597287,4,0,13,28,2.130519999999997,4.300246338756898
Gd16Li16O48,50.797374792315914,3,0,1,7,1.8517559999999982,3.4295605265239195
O48Sn16Tc16,63.24387741514353,4,2,15,0,1.9920924999999983,3.7521435848890174
K16Mo16O48,64.23163890078014,2,0,5,0,2.0024099999999994,5.030981635300469
Cu16O48Pb16,58.10400510519203,3,2,20,14,1.9365944999999982,3.983515296046226
O48Sc16Sn16,69.2963743304424,4,2,11,0,2.053714999999997,3.0635727172591443
K16O48Rb16,125.19517649561128,2,0,0,0,2.5013004999999993,5.500725442331605
Al16Li16O48,51.03133026460131,3,1,0,0,1.8545944999999975,3.5266645081138632
Be16O48V16,40.31645308937702,4,0,3,0,1.7144734999999969,3.459752966308661
B16Np16O48,45.70062729266608,4,1,1,4,1.787628999999999,4.723793568572182
Ce16Ni16O48,54.24272869521403,4,0,9,1,1.8927089999999964,3.279053985086994
O48Te16V16,60.63666748879131,4,4,13,0,1.9643329999999999,3.187417220973975
Ba16Co16O48,63.12052357517151,4,0,7,0,1.9907964999999983,4.873190020495832
Mg16O48Tb16,57.354233469116686,4,0,0,9,1.9282284999999995,3.727753810289524
Li16O48Rb16,73.00276697776184,2,0,0,0,2.089696,3.557067330956893
Bi16O48Re16,65.13167751772733,4,3,15,28,2.011719499999998,3.567898744495414
Al16Ni16O48,48.94206694176442,4,1,8,0,1.8289314999999995,2.801331857961368
Co16O48Sc16,49.103003262793756,4,0,8,0,1.8309339999999992,2.8898793881311393
