      Step     Time          Energy          fmax
FIRE:    0 13:37:44     -310.016998        0.501213
FIRE:    1 13:37:44     -310.030640        0.492947
FIRE:    2 13:37:44     -310.057159        0.476038
FIRE:    3 13:37:45     -310.094849        0.450248
FIRE:    4 13:37:45     -310.141235        0.415728
FIRE:    5 13:37:45     -310.193481        0.370679
FIRE:    6 13:37:46     -310.248108        0.306614
FIRE:    7 13:37:46     -310.304382        0.309174
FIRE:    8 13:37:46     -310.370087        0.357234
FIRE:    9 13:37:47     -310.433197        0.516356
FIRE:   10 13:37:47     -310.510071        0.518416
FIRE:   11 13:37:47     -310.596771        0.237204
FIRE:   12 13:37:48     -310.632965        0.178644
FIRE:   13 13:37:48     -310.634766        0.162509
FIRE:   14 13:37:49     -310.637878        0.131181
FIRE:   15 13:37:49     -310.641571        0.086862
FIRE:   16 13:37:49     -310.645020        0.082260
FIRE:   17 13:37:50     -310.647766        0.079622
FIRE:   18 13:37:50     -310.649994        0.075270
FIRE:   19 13:37:50     -310.652252        0.093714
FIRE:   20 13:37:51     -310.655060        0.097875
FIRE:   21 13:37:51     -310.658508        0.074277
FIRE:   22 13:37:51     -310.661560        0.034084
      Step     Time          Energy          fmax
FIRE:    0 13:37:52     -310.016998        0.501213
FIRE:    1 13:37:52     -310.030640        0.492947
FIRE:    2 13:37:52     -310.057159        0.476038
FIRE:    3 13:37:53     -310.094849        0.450248
FIRE:    4 13:37:53     -310.141235        0.415728
FIRE:    5 13:37:53     -310.193481        0.370679
FIRE:    6 13:37:54     -310.248108        0.306614
FIRE:    7 13:37:54     -310.304382        0.309174
FIRE:    8 13:37:54     -310.370056        0.357234
FIRE:    9 13:37:55     -310.433197        0.516356
FIRE:   10 13:37:55     -310.510101        0.518415
FIRE:   11 13:37:55     -310.596771        0.237204
FIRE:   12 13:37:56     -310.632965        0.178644
FIRE:   13 13:37:56     -310.634766        0.162509
FIRE:   14 13:37:56     -310.637909        0.131181
FIRE:   15 13:37:57     -310.641571        0.086848
FIRE:   16 13:37:57     -310.645020        0.082260
FIRE:   17 13:37:57     -310.647766        0.079622
FIRE:   18 13:37:58     -310.649994        0.075270
FIRE:   19 13:37:58     -310.652252        0.093714
FIRE:   20 13:37:58     -310.655060        0.097875
FIRE:   21 13:37:59     -310.658539        0.074277
FIRE:   22 13:37:59     -310.661621        0.034085
      Step     Time          Energy          fmax
FIRE:    0 13:38:00     -310.016998        0.501213
FIRE:    1 13:38:00     -310.030640        0.492947
FIRE:    2 13:38:00     -310.057159        0.476038
FIRE:    3 13:38:01     -310.094849        0.450248
FIRE:    4 13:38:01     -310.141235        0.415728
FIRE:    5 13:38:01     -310.193481        0.370679
FIRE:    6 13:38:01     -310.248108        0.306614
FIRE:    7 13:38:02     -310.304382        0.309174
FIRE:    8 13:38:02     -310.370087        0.357234
FIRE:    9 13:38:02     -310.433197        0.516356
FIRE:   10 13:38:03     -310.510071        0.518416
FIRE:   11 13:38:03     -310.596771        0.237205
FIRE:   12 13:38:03     -310.632965        0.178643
FIRE:   13 13:38:04     -310.634766        0.162509
FIRE:   14 13:38:04     -310.637878        0.131181
FIRE:   15 13:38:04     -310.641571        0.086849
FIRE:   16 13:38:05     -310.644989        0.082260
FIRE:   17 13:38:05     -310.647766        0.079623
FIRE:   18 13:38:05     -310.650024        0.075269
FIRE:   19 13:38:06     -310.652222        0.093715
FIRE:   20 13:38:06     -310.655060        0.097875
FIRE:   21 13:38:06     -310.658508        0.074273
FIRE:   22 13:38:07     -310.661560        0.034084
      Step     Time          Energy          fmax
FIRE:    0 13:38:07     -310.016998        0.501213
FIRE:    1 13:38:08     -310.030640        0.492947
FIRE:    2 13:38:08     -310.057159        0.476038
FIRE:    3 13:38:08     -310.094849        0.450248
FIRE:    4 13:38:09     -310.141235        0.415728
FIRE:    5 13:38:09     -310.193481        0.370679
FIRE:    6 13:38:09     -310.248108        0.306614
FIRE:    7 13:38:10     -310.304382        0.309174
FIRE:    8 13:38:10     -310.370087        0.357233
FIRE:    9 13:38:10     -310.433197        0.516355
FIRE:   10 13:38:10     -310.510071        0.518417
FIRE:   11 13:38:11     -310.596771        0.237204
FIRE:   12 13:38:11     -310.632996        0.178644
FIRE:   13 13:38:11     -310.634766        0.162508
FIRE:   14 13:38:12     -310.637878        0.131182
FIRE:   15 13:38:12     -310.641571        0.086863
FIRE:   16 13:38:12     -310.645020        0.082260
FIRE:   17 13:38:13     -310.647766        0.079622
FIRE:   18 13:38:13     -310.650024        0.075270
FIRE:   19 13:38:13     -310.652222        0.093715
FIRE:   20 13:38:14     -310.655060        0.097875
FIRE:   21 13:38:14     -310.658508        0.074277
FIRE:   22 13:38:14     -310.661621        0.034085
      Step     Time          Energy          fmax
FIRE:    0 13:38:15     -310.016998        0.501213
FIRE:    1 13:38:15     -310.030640        0.492947
FIRE:    2 13:38:16     -310.057159        0.476038
FIRE:    3 13:38:16     -310.094849        0.450248
FIRE:    4 13:38:16     -310.141235        0.415728
FIRE:    5 13:38:17     -310.193481        0.370679
FIRE:    6 13:38:17     -310.248108        0.306614
FIRE:    7 13:38:17     -310.304382        0.309174
FIRE:    8 13:38:18     -310.370087        0.357233
FIRE:    9 13:38:18     -310.433197        0.516356
FIRE:   10 13:38:19     -310.510132        0.518416
FIRE:   11 13:38:19     -310.596771        0.237204
FIRE:   12 13:38:19     -310.632965        0.178643
FIRE:   13 13:38:20     -310.634766        0.162509
FIRE:   14 13:38:20     -310.637878        0.131181
FIRE:   15 13:38:20     -310.641571        0.086862
FIRE:   16 13:38:21     -310.645020        0.082260
FIRE:   17 13:38:21     -310.647766        0.079622
FIRE:   18 13:38:21     -310.650024        0.075270
FIRE:   19 13:38:22     -310.652252        0.093714
FIRE:   20 13:38:22     -310.655060        0.097875
FIRE:   21 13:38:22     -310.658508        0.074276
FIRE:   22 13:38:23     -310.661560        0.034084
      Step     Time          Energy          fmax
FIRE:    0 13:38:23     -310.016998        0.501213
FIRE:    1 13:38:24     -310.030640        0.492947
FIRE:    2 13:38:24     -310.057159        0.476038
