Time[ps]      Etot[eV]     Epot[eV]     Ekin[eV]    T[K]
0.0000        -208.7745    -208.7745       0.0000     0.0
0.2000        -208.9893    -209.3740       0.3847   595.3
0.4000        -209.3099    -209.7553       0.4453   689.1
0.6000        -209.4767    -210.0172       0.5405   836.3
0.8000        -209.5672    -209.8361       0.2689   416.0
1.0000        -209.6237    -209.8830       0.2593   401.2
1.2000        -209.6662    -209.7880       0.1218   188.5
1.4000        -209.6917    -209.9819       0.2902   449.0
1.6000        -209.7010    -209.8282       0.1273   197.0
1.8000        -209.7115    -209.8773       0.1658   256.6
2.0000        -209.7005    -209.7812       0.0807   124.9
