Time[ps]      Etot[eV]     Epot[eV]     Ekin[eV]    T[K]
0.0000         -43.4121     -43.4121       0.0000     0.0
0.2000         -43.4268     -43.4268       0.0000     0.0
0.4000         -43.3872     -43.4041       0.0169    26.1
0.6000         -43.2697     -43.2942       0.0244    37.8
0.8000         -43.1937     -43.3898       0.1961   303.5
1.0000         -43.1687     -43.2758       0.1071   165.7
1.2000         -43.1323     -43.3436       0.2113   327.0
1.4000         -43.1331     -43.2794       0.1463   226.4
1.6000         -43.1185     -43.3282       0.2096   324.4
1.8000         -43.1192     -43.2740       0.1548   239.5
2.0000         -43.1173     -43.3203       0.2030   314.2
