epoch,step,train_Energy_MAE,train_Energy_RMSE,train_Force_MAE,train_Force_RMSE,train_Magmom_MAE,train_Magmom_RMSE,train_Stress_MAE,train_Stress_RMSE,train_Total_Loss,val_Energy_MAE,val_Energy_RMSE,val_Force_MAE,val_Force_RMSE,val_Magmom_MAE,val_Magmom_RMSE,val_Stress_MAE,val_Stress_RMSE,val_Total_Loss
0,7,,,,,,,,,,0.4582209587097168,0.4582209587097168,9.98372911453771e-07,1.5848808061491582e-06,0.0,0.0,0.1263139545917511,0.21878021955490112,0.2104451060295105
0,7,0.48443537950515747,0.48443537950515747,4.224631027227588e-07,6.068549396331946e-07,0.0,0.0,0.30509644746780396,0.528441309928894,0.2380383163690567,,,,,,,,,
1,15,,,,,,,,,,0.41173362731933594,0.41173362731933594,1.9554495338525157e-06,3.290632093921886e-06,0.0,0.0,0.04227779433131218,0.07322455197572708,0.1695781946182251
1,15,0.43987786769866943,0.43987786769866943,1.352362005491159e-06,2.1797604858875275e-06,0.0,0.0,0.06592369079589844,0.11418089270591736,0.19381161034107208,,,,,,,,,
2,23,,,,,,,,,,0.3585090637207031,0.3585090637207031,3.2052009828476002e-06,5.445538135973038e-06,0.0,0.0,0.028097033500671387,0.048661623150110245,0.1285524219274521
2,23,0.39059317111968994,0.39059317111968994,2.3995901301532285e-06,3.981512236350682e-06,0.0,0.0,0.06826704740524292,0.1182388886809349,0.15290886163711548,,,,,,,,,
3,31,,,,,,,,,,0.2954730987548828,0.2954730987548828,4.856451596424449e-06,8.218155016948003e-06,0.0,0.0,0.01727287843823433,0.029911639168858528,0.08731330186128616
3,31,0.33339178562164307,0.33339178562164307,3.887578714056872e-06,6.424479579436593e-06,0.0,0.0,0.05747546628117561,0.09954564273357391,0.11155088245868683,,,,,,,,,
4,39,,,,,,,,,,0.2184429168701172,0.2184429168701172,6.712181402690476e-06,1.1269881724729203e-05,0.0,0.0,0.011286113411188126,0.01953916996717453,0.047721125185489655
4,39,0.264723539352417,0.264723539352417,5.479685114551103e-06,9.059459443960804e-06,0.0,0.0,0.04690462723374367,0.0812344178557396,0.07068904489278793,,,,,,,,,
5,47,,,,,,,,,,0.1145477294921875,0.1145477294921875,9.224397217622027e-06,1.5344605344580486e-05,0.0,0.0,0.09747610241174698,0.16881993412971497,0.013406183570623398
5,47,0.17737269401550293,0.17737269401550293,7.685599484830163e-06,1.2591304766829126e-05,0.0,0.0,0.06319310516119003,0.10944247990846634,0.03242804482579231,,,,,,,,,
6,55,,,,,,,,,,0.01630115509033203,0.01630115509033203,1.0433373972773552e-05,1.6947744370554574e-05,0.0,0.0,0.09014631062746048,0.15612278878688812,0.0005094712250865996
6,55,0.06865108013153076,0.06865108013153076,9.771407349035144e-06,1.5833980796742253e-05,0.0,0.0,0.09533752501010895,0.16511520743370056,0.005981796886771917,,,,,,,,,
7,63,,,,,,,,,,0.03197956085205078,0.03197956085205078,1.0538970855122898e-05,1.6753789168433286e-05,0.0,0.0,0.039956916123628616,0.06919144839048386,0.001070567057467997
7,63,0.01503753662109375,0.01503753662109375,1.0409895367047284e-05,1.6510584828210995e-05,0.0,0.0,0.06765879690647125,0.11717314273118973,0.000485498079797253,,,,,,,,,
8,71,,,,,,,,,,0.0174102783203125,0.0174102783203125,8.263671588792931e-06,1.3287806723383255e-05,0.0,0.0,0.05109259486198425,0.0884803980588913,0.0003814057563431561
8,71,0.027801871299743652,0.027801871299743652,9.422924449609127e-06,1.4817564988334198e-05,0.0,0.0,0.08433180302381516,0.14605246484279633,0.0010925709502771497,,,,,,,,,
9,79,,,,,,,,,,0.00986480712890625,0.00986480712890625,6.864086117275292e-06,1.1216714483452961e-05,0.0,0.0,0.08802085369825363,0.1524418741464615,0.0003296997747384012
9,79,0.010874629020690918,0.010874629020690918,7.099924005160574e-06,1.138493917096639e-05,0.0,0.0,0.0425216443836689,0.07363520562648773,0.00022463852656073868,,,,,,,,,
10,87,,,,,,,,,,0.0029020309448242188,0.0029020309448242188,7.630776053701993e-06,1.2177918506495189e-05,0.0,0.0,0.023944955319166183,0.04145824536681175,2.560979191912338e-05
10,87,0.008345246315002441,0.008345246315002441,6.874255177535815e-06,1.0972717063850723e-05,0.0,0.0,0.04840216413140297,0.08382023870944977,0.00016812753165140748,,,,,,,,,
11,95,,,,,,,,,,0.007390022277832031,0.007390022277832031,8.135591997415759e-06,1.2893147868453525e-05,0.0,0.0,0.029474619776010513,0.05103631317615509,8.065965084824711e-05
11,95,0.005588173866271973,0.005588173866271973,7.807358997524716e-06,1.2196267562103458e-05,0.0,0.0,0.037291232496500015,0.06457550078630447,9.974936256185174e-05,,,,,,,,,
12,103,,,,,,,,,,0.0009622573852539062,0.0009622573852539062,8.19220076664351e-06,1.290111686103046e-05,0.0,0.0,0.03231559693813324,0.055956143885850906,3.223700696253218e-05
12,103,0.004488825798034668,0.004488825798034668,8.067351700447034e-06,1.257514759345213e-05,0.0,0.0,0.03676602244377136,0.06366539746522903,7.824632484698668e-05,,,,,,,,,
