No,Simulated Composition,FileName,PASSED_SCREENING,data_type,A-site(atom+number),A-site(total_atom),A-site(atom),A-site(number),A'-site(atom+number),A'-site(atom),A'-site(number),A''-site(atom+number),Bandgap_by_DFT,Energy_Raw_eV_by_DFT,Energy_Corrected_eV_by_DFT,Energy_per_atom_eV,Magnetic_by_DFT,Energy_above_convex_hull_Anodic_Conditions_eV_atom,Energy_above_convex_hull_Cathodic_Conditions_eV_atom,Energy_above_convex_hull_CO2_Conditions_eV_atom,Bandgap_by_DFT_w_noise,Zscore_Transformed,Zscore_Transformed_noised,Log_Transformed,Log_Transformed_noised,YeoJohnson_Transformed,YeoJohnson_Transformed_noised,rint_norm,rint_norm_noised,Energy_above_convex_hull_Cathodic_Conditions_eV_atom_noised,Energy_above_convex_hull_CO2_Conditions_eV_atom_noised,Energy_above_convex_hull_Anodic_Conditions_eV_atom_noised,Bandgap_by_DFT_noised
4704,Ba8_Zr8_O24_H2,Ba8Zr8O24H2.vasp,,,,,,,,,,,,-339.0131717,-355.5011717,-8.464313612,,,,,,,,,,,,,,,,,
4703,Ba8_Zr8_O24_H,Ba8Zr8O24H.vasp,,,,,,,,,,,,-334.9453345,-351.4333345,-8.571544743,,,,,,,,,,,,,,,,,
2580,Ba4_Sr4_Zn7_Ce1_O24,Ba4Sr4Zn7Ce1O24.vasp,NOT,train,Ba4,8,Ba,4,Sr4,Sr,4,,0.02,-212.112054,-228.600054,-5.71500135,9.2102,1.670018731,0.826861313,1.308387015,0.020214985,-0.782005352,-0.782314718,-3.506557897,-3.505573206,0.01960492,0.019696825,-0.782764051,-0.781941255,0.8268643377832382,1.3079259946097272,1.669923343523114,0.019912213382773238
3472,La8_Ga7_Ni1_O24,La8Ga7Ni1O24.vasp,NOT,train,La8,8,La,8,,,0,,3.202,-284.94771,-303.97671,-7.59941775,-1,0.330821589,0.242686812,0.242686812,3.2018710164126443,1.950666788497672,1.950864844131239,1.1668937960845152,1.1678398238565533,0.7557069441280245,0.7557863827094177,1.469815473554276,1.4685672204964275,0.2427154284431992,0.2426730524866454,0.3308041253137451,3.2020832350321395
4167,Ba8_Zr5_Fe1_Cu2_O24,Ba8Zr5Fe1Cu2O24.vasp,NOT,train,Ba8,8,Ba,8,,,0,,0.04,-292.092885,-310.836885,-7.770922125,3.3867,0.619461459,0.203211183,0.427473982,0.038793376,-0.764829537,-0.764957776,-2.995732274,-2.996452398,0.03845022,0.038348495,-0.567647579,-0.567167468,0.2032175087494633,0.4278274033905032,0.6193859390530312,0.039909963801443106
3014,Y4_Ba4_Zr2_Mn6_O24,Y4Ba4Zr2Mn6O24.vasp,NOT,train,Y4,8,Y,4,Ba4,Ba,4,,0.009,-313.994452,-340.490452,-8.5122613,22,0.493378016,0.371650813,0.467472132,0.009162675,-0.79145205,-0.79154242,-3.9633163,-3.964254018,0.00891912,0.008930347,-1.08263409,-1.083146932,0.3716147745193332,0.4675494706812751,0.4933299273235395,0.009017502
404,Ca2_Pr6_Mo8_O24,Ca2Pr6Mo8O24.vasp,NOT,train,Ca2,8,Ca,2,Pr6,Pr,6,,1.673,-307.786745,-324.274745,-8.106868625,-10,1.543214642,2.567866005,2.567866005,1.671717758539201,0.6375757442181303,0.6381437250088245,0.520577915,0.5204605979252005,0.6220074030536797,0.6217732808316755,0.7081642058056982,0.7073279271272044,2.5678695477672417,2.567528714808116,1.5431438342733983,1.673026460033474
2072,La4_Ba4_Fe2_Co6_O24,La4Ba4Fe2Co6O24.vasp,NOT,train,La4,8,La,4,Ba4,Ba,4,,0.001,-264.159243,-294.987243,-7.374681075,24,1.030051043,0.400622549,0.556451867,0.000821194,-0.798322376,-0.798171166,-4.509860006,-4.510657369,0.000998993,0.000916032,-1.884210809,-1.883780335,0.4006555740669504,0.5565586585811776,1.0301412041920206,0.000831966
4474,Sr8_Zr2_Ni6_O24,Sr8Zr2Ni6O24.vasp,NOT,train,Sr8,8,Sr,8,,,0,,0.022,-239.640169,-271.374169,-6.784354225,0,1.471859377,0.508908728,0.876576794,0.022560035,-0.780287771,-0.779919688,-3.442019376,-3.441509688,0.021522893,0.021591129,-0.761223648,-0.761156004,0.5089848664692664,0.875698068,1.4718137952587067,0.022176979278939146
1978,La4_Ca4_Ni7_Co1_O24,La4Ca4Ni7Co1O24.vasp,NOT,train,La4,8,La,4,Ca4,Ca,4,,0.008,-242.382541,-278.295541,-6.957388525,7,1.489231997,0.504535127,0.650019136,0.007842306,-0.792310841,-0.793021508,-4.017383521,-4.016340758,0.007936031,0.007873563,-1.145071694,-1.145522119,0.5044906069577664,0.6494615993317214,1.4892250514860452,0.008070608
159,Ba7_Bi1_Zr8_O24,Ba7Bi1Zr8O24.vasp,NOT,train,Ba7,8,Ba,7,Bi1,Bi,1,,0.842,-329.856247,-346.344247,-8.658606175,1,0,0.02614095,0.126687049,0.8425855905367241,-0.076079362,-0.075448073,-0.160168752,-0.159619256,0.4552215365819099,0.4552335319261907,0.2888472427834052,0.2886313024918021,0.026187958,0.1269783817406537,3.570649983517827e-05,0.8418177101876904
